model,param_count,prompt,prompt_example,test_count,first_micro,all_micro,first_macro,all_macro,reason,comments
google/flan-t5-small,80000000,Carry,44 // 10 =,450,0.0811111111111111,0.08244444444444445,0.0811111111111111,0.08244444444444443,Carry occurs in multiplication at some digits place is greater than 9.,
google/flan-t5-small,80000000,Concatenate,2 & 3 & 3 =,5500,0.0005454545454545455,0.0005454545454545455,0.0005454545454545455,0.0005454545454545455,The digits needs to be concatenated to the final answer.,
google/flan-t5-small,80000000,Multiply,15480 * 75948 =,65000,0.010472307692307692,0.01610307692307692,0.010472307692307734,0.016103076923076946,Multiplication is the compositional task.,
google/flan-t5-small,80000000,Multiply 1-digit,9 * 0 =,500,0.1938,0.2256,0.19379999999999994,0.2255999999999999,Multiplication requires multiplying two values at some digits place.,
google/flan-t5-small,80000000,Sum,18 + 41 =,50000,0.001708,0.002256,0.001708,0.002255999999999997,Summation is done after carrying occurs.,
google/flan-t5-base,248000000,Carry,44 // 10 =,450,0.09,0.09,0.09000000000000005,0.09000000000000005,Carry occurs in multiplication at some digits place is greater than 9.,
google/flan-t5-base,248000000,Concatenate,2 & 3 & 3 =,5500,0.00021818181818181818,0.0009090909090909091,0.00021818181818181818,0.0009090909090909091,The digits needs to be concatenated to the final answer.,
google/flan-t5-base,248000000,Multiply,15480 * 75948 =,65000,0.00012153846153846154,0.00012307692307692307,0.00012153846153846154,0.00012307692307692307,Multiplication is the compositional task.,
google/flan-t5-base,248000000,Multiply 1-digit,9 * 0 =,500,0.0326,0.033,0.032600000000000004,0.033,Multiplication requires multiplying two values at some digits place.,
google/flan-t5-base,248000000,Sum,18 + 41 =,50000,0.00024,0.000246,0.00024,0.00024599999999999996,Summation is done after carrying occurs.,
google/flan-t5-large,780000000,Carry,44 // 10 =,450,0.26066666666666666,0.26066666666666666,0.26066666666666677,0.26066666666666677,Carry occurs in multiplication at some digits place is greater than 9.,
google/flan-t5-large,780000000,Concatenate,2 & 3 & 3 =,5500,0.13218181818181818,0.1322,0.13218181818181893,0.13220000000000073,The digits needs to be concatenated to the final answer.,
google/flan-t5-large,780000000,Multiply,15480 * 75948 =,65000,0.006676923076923077,0.006684615384615384,0.006676923076923079,0.006684615384615385,Multiplication is the compositional task.,
google/flan-t5-large,780000000,Multiply 1-digit,9 * 0 =,500,0.0798,0.0798,0.0798,0.0798,Multiplication requires multiplying two values at some digits place.,
google/flan-t5-large,780000000,Sum,18 + 41 =,50000,0.003766,0.003766,0.003765999999999973,0.003765999999999973,Summation is done after carrying occurs.,
google/flan-t5-xl,3000000000,Carry,44 // 10 =,450,0.8464444444444444,0.8491111111111111,0.8464444444444446,0.8491111111111111,Carry occurs in multiplication at some digits place is greater than 9.,
google/flan-t5-xl,3000000000,Concatenate,2 & 3 & 3 =,5500,0.7802181818181818,0.7802181818181818,0.7802181818181818,0.7802181818181818,The digits needs to be concatenated to the final answer.,
google/flan-t5-xl,3000000000,Multiply,15480 * 75948 =,65000,0.043155384615384616,0.04326615384615384,0.04315538461538454,0.04326615384615377,Multiplication is the compositional task.,
google/flan-t5-xl,3000000000,Multiply 1-digit,9 * 0 =,500,0.4774,0.4774,0.4773999999999999,0.4773999999999999,Multiplication requires multiplying two values at some digits place.,
google/flan-t5-xl,3000000000,Sum,18 + 41 =,50000,0.088564,0.088564,0.08856399999999809,0.08856399999999809,Summation is done after carrying occurs.,
google/flan-t5-xxl,11000000000,Carry,44 // 10 =,450,0.98,0.98,0.98,0.98,Carry occurs in multiplication at some digits place is greater than 9.,
google/flan-t5-xxl,11000000000,Concatenate,2 & 3 & 3 =,5500,0.6134545454545455,0.6134545454545455,0.6134545454545459,0.6134545454545459,The digits needs to be concatenated to the final answer.,
google/flan-t5-xxl,11000000000,Multiply,15480 * 75948 =,65000,0.06371846153846154,0.06398923076923077,0.06371846153846154,0.06398923076923077,Multiplication is the compositional task.,
google/flan-t5-xxl,11000000000,Multiply 1-digit,9 * 0 =,500,0.9016,0.9016,0.9016000000000001,0.9016000000000001,Multiplication requires multiplying two values at some digits place.,
google/flan-t5-xxl,11000000000,Sum,18 + 41 =,50000,0.620118,0.620118,0.6201180000000037,0.6201180000000037,Summation is done after carrying occurs.,
